Epoch 01 | TRAIN loss: 1.0351, acc: 0.5374 | VALID loss: 0.7624, acc: 0.6766 | LR: 1.00e-04
Epoch 02 | TRAIN loss: 0.8925, acc: 0.6125 | VALID loss: 0.7122, acc: 0.7042 | LR: 1.00e-04
Epoch 03 | TRAIN loss: 0.8463, acc: 0.6331 | VALID loss: 0.6925, acc: 0.7166 | LR: 1.00e-04
Epoch 04 | TRAIN loss: 0.8112, acc: 0.6542 | VALID loss: 0.6772, acc: 0.7244 | LR: 1.00e-04
Epoch 05 | TRAIN loss: 0.7861, acc: 0.6632 | VALID loss: 0.6674, acc: 0.7352 | LR: 1.00e-04
Epoch 06 | TRAIN loss: 0.7661, acc: 0.6811 | VALID loss: 0.6759, acc: 0.7268 | LR: 1.00e-04
Epoch 07 | TRAIN loss: 0.7483, acc: 0.6843 | VALID loss: 0.6476, acc: 0.7402 | LR: 1.00e-04
Epoch 08 | TRAIN loss: 0.7270, acc: 0.6979 | VALID loss: 0.6584, acc: 0.7344 | LR: 1.00e-04
Epoch 09 | TRAIN loss: 0.7128, acc: 0.7039 | VALID loss: 0.6691, acc: 0.7402 | LR: 1.00e-04
Epoch 10 | TRAIN loss: 0.6927, acc: 0.7127 | VALID loss: 0.6628, acc: 0.7398 | LR: 1.00e-04
Epoch 11 | TRAIN loss: 0.6834, acc: 0.7155 | VALID loss: 0.6604, acc: 0.7537 | LR: 1.00e-04
Epoch 12 | TRAIN loss: 0.6392, acc: 0.7359 | VALID loss: 0.6429, acc: 0.7585 | LR: 5.00e-05
Epoch 13 | TRAIN loss: 0.6184, acc: 0.7421 | VALID loss: 0.6647, acc: 0.7589 | LR: 5.00e-05
Epoch 14 | TRAIN loss: 0.6041, acc: 0.7497 | VALID loss: 0.6770, acc: 0.7551 | LR: 5.00e-05
Epoch 15 | TRAIN loss: 0.5914, acc: 0.7561 | VALID loss: 0.6673, acc: 0.7613 | LR: 5.00e-05
Epoch 16 | TRAIN loss: 0.5801, acc: 0.7621 | VALID loss: 0.7017, acc: 0.7561 | LR: 5.00e-05
Epoch 17 | TRAIN loss: 0.5481, acc: 0.7779 | VALID loss: 0.7063, acc: 0.7553 | LR: 2.50e-05
Epoch 18 | TRAIN loss: 0.5341, acc: 0.7828 | VALID loss: 0.7131, acc: 0.7609 | LR: 2.50e-05
Epoch 19 | TRAIN loss: 0.5255, acc: 0.7888 | VALID loss: 0.7238, acc: 0.7551 | LR: 2.50e-05
Epoch 20 | TRAIN loss: 0.5198, acc: 0.7869 | VALID loss: 0.7282, acc: 0.7573 | LR: 2.50e-05
Epoch 21 | TRAIN loss: 0.5037, acc: 0.7949 | VALID loss: 0.7200, acc: 0.7649 | LR: 1.25e-05
Epoch 22 | TRAIN loss: 0.4955, acc: 0.7985 | VALID loss: 0.7411, acc: 0.7597 | LR: 1.25e-05
Epoch 23 | TRAIN loss: 0.4970, acc: 0.7960 | VALID loss: 0.7331, acc: 0.7619 | LR: 1.25e-05
Epoch 24 | TRAIN loss: 0.4885, acc: 0.8005 | VALID loss: 0.7296, acc: 0.7619 | LR: 1.25e-05
Epoch 25 | TRAIN loss: 0.4778, acc: 0.8055 | VALID loss: 0.7399, acc: 0.7619 | LR: 6.25e-06
Epoch 26 | TRAIN loss: 0.4754, acc: 0.8061 | VALID loss: 0.7297, acc: 0.7633 | LR: 6.25e-06
Epoch 27 | TRAIN loss: 0.4699, acc: 0.8098 | VALID loss: 0.7480, acc: 0.7627 | LR: 6.25e-06
Epoch 28 | TRAIN loss: 0.4672, acc: 0.8097 | VALID loss: 0.7586, acc: 0.7645 | LR: 6.25e-06
Epoch 29 | TRAIN loss: 0.4705, acc: 0.8087 | VALID loss: 0.7579, acc: 0.7657 | LR: 3.13e-06
Epoch 30 | TRAIN loss: 0.4655, acc: 0.8095 | VALID loss: 0.7483, acc: 0.7635 | LR: 3.13e-06
Epoch 31 | TRAIN loss: 0.4563, acc: 0.8137 | VALID loss: 0.7589, acc: 0.7643 | LR: 3.13e-06
Epoch 32 | TRAIN loss: 0.4606, acc: 0.8130 | VALID loss: 0.7597, acc: 0.7627 | LR: 3.13e-06
Epoch 33 | TRAIN loss: 0.4576, acc: 0.8127 | VALID loss: 0.7685, acc: 0.7621 | LR: 1.56e-06
Epoch 34 | TRAIN loss: 0.4530, acc: 0.8159 | VALID loss: 0.7748, acc: 0.7649 | LR: 1.56e-06
Epoch 35 | TRAIN loss: 0.4519, acc: 0.8180 | VALID loss: 0.7630, acc: 0.7649 | LR: 1.56e-06
Epoch 36 | TRAIN loss: 0.4547, acc: 0.8147 | VALID loss: 0.7670, acc: 0.7633 | LR: 1.56e-06
Epoch 37 | TRAIN loss: 0.4525, acc: 0.8180 | VALID loss: 0.7636, acc: 0.7633 | LR: 7.81e-07
Epoch 38 | TRAIN loss: 0.4575, acc: 0.8116 | VALID loss: 0.7759, acc: 0.7639 | LR: 7.81e-07
Epoch 39 | TRAIN loss: 0.4472, acc: 0.8175 | VALID loss: 0.7646, acc: 0.7623 | LR: 7.81e-07
Epoch 40 | TRAIN loss: 0.4598, acc: 0.8144 | VALID loss: 0.7723, acc: 0.7633 | LR: 7.81e-07
Epoch 41 | TRAIN loss: 0.4495, acc: 0.8170 | VALID loss: 0.7552, acc: 0.7635 | LR: 3.91e-07
Epoch 42 | TRAIN loss: 0.4487, acc: 0.8208 | VALID loss: 0.7621, acc: 0.7637 | LR: 3.91e-07
Epoch 43 | TRAIN loss: 0.4600, acc: 0.8140 | VALID loss: 0.7685, acc: 0.7633 | LR: 3.91e-07
Epoch 44 | TRAIN loss: 0.4580, acc: 0.8158 | VALID loss: 0.7907, acc: 0.7621 | LR: 3.91e-07
Epoch 45 | TRAIN loss: 0.4508, acc: 0.8178 | VALID loss: 0.7632, acc: 0.7657 | LR: 1.95e-07
Epoch 46 | TRAIN loss: 0.4550, acc: 0.8131 | VALID loss: 0.7737, acc: 0.7641 | LR: 1.95e-07
Epoch 47 | TRAIN loss: 0.4523, acc: 0.8132 | VALID loss: 0.7604, acc: 0.7663 | LR: 1.95e-07
Epoch 48 | TRAIN loss: 0.4496, acc: 0.8210 | VALID loss: 0.7693, acc: 0.7663 | LR: 1.95e-07
Epoch 49 | TRAIN loss: 0.4488, acc: 0.8158 | VALID loss: 0.7669, acc: 0.7651 | LR: 9.77e-08
Epoch 50 | TRAIN loss: 0.4532, acc: 0.8171 | VALID loss: 0.7730, acc: 0.7645 | LR: 9.77e-08
